Star,Model,--ctx-size,--n-gpu-layers,--threads,VRAM,GPU Shared RAM,GPU,RAM,CPU,Duration,Duration (s),Context,Speed,Screenshot,Note
,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,128000,8,,6.4,0.6,40.00%,90.00%,96.00%,13m 2s,782,17600,22.51,Screenshot 2026-07-17 172035.png,
,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,128000,16,,7.7,1.4,97.00%,76.00%,11.00%,,,,,Screenshot 2026-07-17 175144.png,Too long no response
,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,128000,99,,,,,,,,,,,,ggml_backend_cuda_buffer_type_alloc_buffer: allocating 193.02 MiB on device 0: cudaMalloc failed: out of memory
**,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,128000,10,,,,,,,13m 47s,827,25500,30.83,Screenshot 2026-07-17 190245.png,
,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,128000,12,,,,,,,15m 11s,911,20400,22.39,,
,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,256000,12,,7.7,3.1,93.00%,93.00%,45.00%,40m 53s,2453,22900,9.34,Screenshot 2026-07-17 195711.png,
**,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,256000,10,,7.4,1.7,,,,15m 32s,932,22400,24.03,Screenshot 2026-07-17 210439.png,
,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,256000,8,,7.6,1,97.00%,87.00%,45.00%,30m 42s,1842,21000,11.4,Screenshot 2026-07-17 212931.png,
,unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-Q4_K_M.gguf,256000,10,20,7.4,1.7,,,,32m 45s,1965,19300,9.82,,
**,unsloth/Qwen3.6-35B-A3B-MTP-GGUF/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,256000,10,,7.6,1.6,97.00%,91.00%,35.00%,21m 51s,1311,22100,16.86,,
,prism-ml/Ternary-Bonsai-27B-gguf/Ternary-Bonsai-27B-Q2_g64.gguf,0,99,,7.6,11,66.00%,90.00%,98.00%,4m 45s,285,325,1.14035087719298,Screenshot 2026-07-18 221951.png,
,prism-ml/Ternary-Bonsai-27B-gguf/Ternary-Bonsai-27B-Q2_g64.gguf,0,16,,5.5,0.6,5.00%,94.00%,98.00%,3m 7s,187,234,1.31,,
,prism-ml/Ternary-Bonsai-27B-gguf/Ternary-Bonsai-27B-Q2_g64.gguf,0,8,,3.4,0.6,5.00%,98.00%,98.00%,1m 37s,97,130,1.31,,
,prism-ml/Ternary-Bonsai-27B-gguf/Ternary-Bonsai-27B-Q2_g64.gguf,256000,99,,7.5,10.6,60.00%,92.00%,99.00%,1m 20s,,100,1.22,,
,prism-ml/Ternary-Bonsai-27B-gguf/Ternary-Bonsai-27B-Q2_g64.gguf,256000,200,,7.5,10.7,64.00%,92.00%,100.00%,,,,1.3,,
,prism-ml/Ternary-Bonsai-27B-gguf/Ternary-Bonsai-27B-Q2_g64.gguf,128000,99,8,7.6,2.6,20.00%,69.00%,41.00%,,,,0.8,,
,prism-ml/Ternary-Bonsai-27B-gguf/Ternary-Bonsai-27B-Q2_g64.gguf,,,,6.3,0.4,57.00%,61.00%,99.00%,,,,1.3,,
